unemployment_rate,Government Response Index,Containment Health Index,Economic Support Index,Stringency Index
2.8,61.98,56.55,100,50.93
2.8,61.98,56.55,100,50.93
2.8,61.98,56.55,100,50.93
2.8,61.98,56.55,100,50.93
2.8,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.2,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.4,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
