unemployment_rate,Government Response Index,Containment Health Index,Economic Support Index,Stringency Index
4.4,71.61,67.56,100,71.3
4.4,70.83,66.67,100,69.91
4.4,70.83,66.67,100,69.91
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.4,66.67,61.9,100,64.35
4.7,69.79,65.48,100,69.91
4.7,69.79,65.48,100,69.91
4.7,69.79,65.48,100,69.91
4.7,69.79,65.48,100,69.91
4.7,69.79,65.48,100,69.91
4.7,69.79,65.48,100,69.91
4.7,69.79,65.48,100,69.91
4.7,69.79,65.48,100,69.91
4.7,69.79,65.48,100,69.91
4.7,69.79,65.48,100,69.91
4.7,69.79,65.48,100,69.91
4.7,69.79,65.48,100,69.91
4.7,67.71,63.1,100,66.2
4.7,67.71,63.1,100,66.2
4.7,67.71,63.1,100,66.2
4.7,67.71,63.1,100,66.2
4.7,69.27,64.88,100,66.2
4.7,69.27,64.88,100,66.2
4.7,69.27,64.88,100,66.2
4.7,69.27,64.88,100,66.2
4.7,69.27,64.88,100,66.2
4.7,69.27,64.88,100,66.2
4.7,69.27,64.88,100,66.2
4.7,69.27,64.88,100,66.2
4.7,69.27,64.88,100,66.2
4.7,69.27,64.88,100,66.2
4.7,69.27,64.88,100,66.2
4.7,69.27,64.88,100,66.2
4.7,69.27,64.88,100,66.2
4.7,66.15,61.31,100,66.2
4.7,66.15,61.31,100,66.2
